token_address,n_syncs,WETH,prices,liquidity,num_transactions,n_unique_addresses,tx_curve,mints,burns,difference_token_pool,label,fraud_type
0xa4bdb11dc0a2bec88d24a3aa1e6bb17201112ebe,6.0,1.0003069912358507,0.0030721065392217586,325.70943225452095,625,266,7.628637025703943,1,0,4769239,1,none
0x59ad6061a0be82155e7acce9f0c37bf59f9c1e3c,83.0,2.554606918480996,0.6287515935002891,10.379324005558912,236,167,0.8752632141597255,3,2,5063,1,none
0x72b2bb8a3bfb5a0bf0c2e145fdc82bcc7fd5f6d9,449.0,0.00573506695517321,6.371436345423931e-13,51622571.73603023,451,51,0.2010449889445696,4,0,16,1,none
0xa585cb4e6e833d6fa55a992e75b9ee0743b23d69,93.0,13.16365376678571,0.0724261552679547,2392.530431178099,113,45,1.0,11,2,4097435,1,none
0xc47e5efe35397007d94b9d6b1f68565df148d73c,83.0,2.961565410401387,0.0017731193735798984,4946.57596706402,90,30,0.40280879168118006,9,2,524,1,none
0xd6c67b93a7b248df608a653d82a100556144c5da,514.0,984.3663186073313,0.042210652228539994,22955746.903938938,563,284,0.9038945245456143,3,0,863,1,none
0x8e45ba65b67674d359eb87364981fa50579a0606,17.0,3.2718700247808226,0.0007899638028277473,13551.422762333237,56,25,0.9876756387773484,1,0,85991,1,none
0xded925e8563c03d77d18b7a223aeda577c65f0fc,72.0,28.37138599970285,3060229317193706.0,2.630311196032451e-13,119,35,1.0,5,0,1088,1,none
0x284399c033bd1c4ec811ed6ea1f1a8a1f18d7541,124.0,9.270180984473672,0.008793193293962739,9773.042922177052,251,61,0.9624047546226748,2,1,45,0,liquidity_stealing
0x8c09394479c20a3fc240a7877d1983fa63dbd609,1969.0,46.31143358919415,0.6407186181572343,3347.4115162359967,4037,566,0.13215732519828152,6,2,3405,1,none
0xe1994856f974f4d5ec9262bfce8997c651b55231,204.0,110.4786313270815,0.04504163101748391,270983.2593577117,217,97,0.7941317695034831,5,1,18508,1,none
0xebf919584021075d3f7bf3d6cf1c6dc318221eff,9.0,3.7e-17,0.0013329970818171991,1.0270089999999999e-30,10,7,1.0,1,1,22,0,liquidity_stealing
0x43da623816e6249cdd8462a426d8fce9164dfd8c,7.0,400.4323231040271,0.001969788218212699,81402682.73712137,199,198,1.0,1,0,75,0,liquidity_stealing
0x3eee07d48dab5ba20e414fcefd9d1a0fa92e1bda,9.0,1.5e-17,0.00022064015062367616,1.01976e-30,11,8,0.9655319881772735,1,1,7,0,liquidity_stealing
0xd7b1d6e053c6109e74df127006098ab9605e303a,9.0,9.8e-17,0.00956377476334537,1.0042059999999999e-30,13,5,1.0,4,2,41,0,liquidity_stealing
0x7c4eb342a0298f8d8e0e6ac3e1f3efae0c7ea655,13.0,1.04e-16,0.010810810810810811,1.00048e-30,15,12,0.9963301461840186,1,1,14,0,liquidity_stealing
0x3dae9991d97d0b98f83b0462a34ec4f68527ff41,6.0,5.8e-17,0.0033481498585695327,1.004734e-30,7,5,1.0,1,1,29,0,liquidity_stealing
0x30b59089375fbcf08700e67930dc8ae4abb4fb58,10.0,5.4e-17,0.0028644175684277534,1.018008e-30,14,11,0.8896888824225673,1,1,976,0,liquidity_stealing
0xc2dcee6d3f98480e6fea715b87b6a5630a0afc05,13.0,5e-17,0.0024902878772786134,1.0039e-30,15,12,0.952398833501814,1,1,34,0,liquidity_stealing
0x7c8f6d8a03a82d55e3cfaa0b527771f95b091168,17.0,2e-17,0.0003845118621909486,1.0402800000000002e-30,83,20,1.0,1,1,306,0,liquidity_stealing
0xf6b76aa49f8535238f06850fd93e5ea27a378751,8.0,3.2e-17,0.0010121137362811147,1.011744e-30,9,7,1.0,1,1,304,0,liquidity_stealing
0xf832fc4b41a6e44bdfb02ac1e35fa09c6fd2a8b2,14.0,1e-17,8.987148377819718e-05,1.1127000000000001e-30,16,15,0.38851182617810553,1,1,7,0,liquidity_stealing
0xb9c952045c663bf0210814072b0cbefdd08e4ff0,19.0,4.8e-17,0.002294126081345887,1.004304e-30,23,15,0.7809923672875348,1,1,10,0,liquidity_stealing
0xb40183f42d7809e8921adece2d61a0961f9a8414,15.0,1e-17,9.356112348197078e-05,1.0688200000000001e-30,17,14,0.32779452505482953,1,1,31,0,liquidity_stealing
0xf6ad681d9048efa2e0f6f6b6c3c8d9b9548827b5,6.0,20.161507998306973,14510864027.506613,2.8012556936324776e-08,7,6,0.9860972641573207,1,0,14729,0,liquidity_stealing
0xa1296f845d9822a43117f6ab5cb81c439b753ebd,6.0,3.011468437002038,0.00015084163512041468,60122.274197173036,7,6,0.9964501000409391,1,0,111,0,liquidity_stealing
0xfcc3a28dc8f7e38e0b19223fcaf5d6bd595c1e22,18.0,0.05068065388991737,0.009590856729082052,0.2678101395176854,21,17,0.8535483488796147,2,1,14,0,liquidity_stealing
0xb26efb9a0da333599b1aa8e95579a71c02ea6715,7.0,1e-16,0.009887284951552304,1.0114e-30,8,7,1.0,1,1,30,0,liquidity_stealing
0xb1919a2f09d10eae80c201ece3401b8871a6d035,15.0,4.027175265782603,0.006785847151511491,2389.9949791410672,19,9,0.9975901875313313,3,0,76958,0,liquidity_stealing
0xb9dcd222cefbd14384df2eada2f61cf8ad29015f,11.0,1.11e-16,0.012204507971412865,1.009545e-30,14,7,1.0,1,1,18,0,liquidity_stealing
0xcc4e6624bcdb596e06ad9460efb132495dd439b4,9.0,9e-18,7.220853825849052e-05,1.1217509999999999e-30,11,8,0.9942239037156435,1,1,21,0,liquidity_stealing
